id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,9,MUSHRUM GOLDEN FRY,150,I,MUSHRUM GOLDEN FRY.jpg,,,
,9,MUSHRUM CHILY DRY,140,I,MUSHRUM CHILY DRY.jpg,,,
,9,PANNIR MANCHURYAN DRY,140,I,PANNIR MANCHURYAN DRY.jpg,,,
,9,PANNIR MANCHURYAN GREVI,140,I,PANNIR MANCHURYAN GREVI.jpg,,,
,9,VEG HAKK NUDALS,90,I,VEG HAKK NUDALS.jpg,,,
,9,VEG SEZWAN NUDAL,90,I,VEG SEZWAN NUDAL.jpg,,,
,9,GOBI MANCHURYAN DRY,90,I,GOBI MANCHURYAN DRY.jpg,,,
,9,GOBI MANCHRYAN GRAVI,90,I,GOBI MANCHRYAN GRAVI.jpg,,,
,9,MANCHURYA DRY,90,I,MANCHURYA DRY.jpg,,,
,9,MANCHRYAN GRAVI,90,I,MANCHRYAN GRAVI.jpg,,,
,9,CHAINIC BHEL,90,I,CHAINIC BHEL.jpg,,,
,10,BABY CORN KADAI,140,J,BABY CORN KADAI.jpg,,,
,10,MASHURUM KADAI,150,J,MASHURUM KADAI.jpg,,,
,10,BAYB CORN PANIR KADAI,140,J,BAYB CORN PANIR KADAI.jpg,,,
,10,MASHURUM MASAL PALAK,150,J,MASHURUM MASAL PALAK.jpg,,,
,10,MASHRUM MUTER,150,J,MASHRUM MUTER.jpg,,,
,11,TRIPAL SEZWAN NUDAL /GRAVI,140,K,TRIPAL SEZWAN NUDAL /GRAVI.jpg,,,
,25,EXTRA BUTTER 20,20,Y,EXTRA BUTTER 20.jpg,,,
,11,"TRIPAL SEZ RICE ,MANCHURYAN",140,K,"TRIPAL SEZ RICE ,MANCHURYAN.jpg",,,
,11,VEG SEZWAN RICE,120,K,VEG SEZWAN RICE.jpg,,,
,11,VEG FRID RICE,120,K,VEG FRID RICE.jpg,,,
,11,MUSHURUM FRID RICE,120,K,MUSHURUM FRID RICE.jpg,,,
,11,MANCHURIYAN RICE,120,K,MANCHURIYAN RICE.jpg,,,
